"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "SVG", "TypeScript React", "CSS", "HTML", "comment", "blank", "total"
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/Process.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/ReadyAi.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/Socials.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/Start.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/TCs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Contact.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 4, 35
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/ContactAi.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 6, 37
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/ContactForm/ContactForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 134, 0, 0, 5, 12, 151
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Creations/Creations.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 6, 42
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Creations/components/PortfolioCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Creations/components/portfolioData.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Craft/Craft.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 62, 0, 0, 4, 13, 79
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Offering/Companion.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 8, 50
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Offering/Websites.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 8, 50
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section1/Landing1.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 5, 42
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section1/Landing2.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 8, 102
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section1/Section1.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 5, 24
